City,Longitude,Latitude,Total_Population_City,Total_QSRs_City,avg_customer_satisfaction,residents_per_qsr_city,scaled_residents_per_qsr_city,IC_score
Philadelphia,-75.1652,39.9526,4886100,1624,11.264778325123153,3008.6822660098524,3.0086822660098522,-8.2560960591133
Tampa,-82.4572,27.9506,2707676,1312,14.725228658536585,2063.7774390243903,2.06377743902439,-12.661451219512195
Indianapolis,-86.1581,39.7684,1521858,863,14.863847045191193,1763.4507531865586,1.7634507531865586,-13.100396292004634
St Louis,-90.1994,38.627,1873738,906,9.360927152317881,2068.1434878587197,2.0681434878587197,-7.2927836644591615
Nashville,-86.7816,36.1627,1247676,717,10.232914923291492,1740.1338912133892,1.7401338912133892,-8.492781032078103
Tucson,-110.9747,32.2226,960289,515,23.054368932038834,1864.6388349514564,1.8646388349514564,-21.189730097087377
New Orleans,-90.0715,29.9511,850947,403,9.673697270471465,2111.531017369727,2.1115310173697273,-7.562166253101737
Boise,-116.2146,43.6187,419603,214,13.899532710280374,1960.7616822429907,1.9607616822429907,-11.938771028037383
Reno,-119.8138,39.5296,406782,246,34.28048780487805,1653.5853658536585,1.6535853658536586,-32.62690243902439
Santa Barbara,-119.6982,34.4208,212040,80,37.1125,2650.5,2.6505,-34.461999999999996
