City,Measure Names,Avg. Customer Satisfaction,Scaled resident/QSR
Philadelphia,Scaled resident/QSR,18.07364685,74.76946
Tampa,Scaled resident/QSR,24.31826923,53.04672
Indianapolis,Scaled resident/QSR,20.24438202,30.05502
St Louis,Scaled resident/QSR,16.64640199,27.76494
Nashville,Scaled resident/QSR,22.21783877,24.95352
Tucson,Scaled resident/QSR,27.91136364,19.20578
New Orleans,Scaled resident/QSR,19.89189189,17.01894
Boise,Scaled resident/QSR,18.54871795,8.39206
Reno,Scaled resident/QSR,48.99074074,8.13564
Santa Barbara,Scaled resident/QSR,41.43421053,4.2408
