metro_area,customer_satisfaction,BusinessAcceptsCreditCards,WheelchairAccessible,OutdoorSeating,HasTV,DogsAllowed,GoodForKids,RestaurantsGoodForGroups,DriveThru,RestaurantsPriceRange2,latenight,lunch,dinner,breakfast,HasFreeWiFi
Nashville,-5,1,1,1,1,0,1,0,1,1,NA,NA,NA,NA,0
Tucson,44,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,NA
Nashville,-18.5,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,NA
St Louis,-50,1,NA,1,1,NA,1,1,1,1,0,0,0,1,1
Philadelphia,-7.5,1,NA,0,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
St Louis,-31,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Philadelphia,160,1,NA,0,0,0,1,1,1,1,0,1,1,1,1
Tampa,56,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Tampa,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Philadelphia,0,1,NA,0,1,NA,1,0,1,1,NA,NA,NA,NA,1
Philadelphia,-10,1,NA,0,1,NA,1,1,1,1,0,0,0,0,NA
St Louis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tampa,13.5,1,NA,0,1,NA,1,1,NA,1,0,1,0,0,0
Tucson,13,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1
Tucson,7,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,0
Tampa,21,1,NA,0,1,NA,1,1,1,1,1,0,0,1,0
Tucson,0,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,NA
Tucson,13,1,NA,0,1,NA,1,1,1,1,0,1,0,0,1
Tucson,35.5,1,NA,0,1,NA,1,1,1,1,1,1,1,1,0
Tampa,0,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Nashville,15,1,NA,0,1,NA,1,1,1,2,0,1,0,0,0
Reno,44,1,NA,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Nashville,-4.5,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,1
Indianapolis,16,1,NA,1,1,NA,1,1,0,1,NA,NA,NA,NA,0
Santa Barbara,5,1,1,1,1,NA,1,1,NA,1,0,0,0,0,NA
Reno,73,1,NA,0,1,NA,1,1,1,1,0,1,1,0,0
Reno,0,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,0
Tampa,14,1,NA,0,NA,NA,1,1,0,1,0,0,0,0,1
Nashville,-4,1,NA,0,0,NA,1,0,NA,1,NA,NA,NA,NA,0
Indianapolis,7,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Philadelphia,0,1,1,1,0,NA,1,0,1,1,0,1,1,1,1
Tampa,0,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
Indianapolis,3,1,NA,NA,1,NA,1,0,1,1,NA,NA,NA,NA,0
Reno,0,1,NA,0,0,NA,1,0,NA,1,NA,NA,NA,NA,0
Philadelphia,0,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
Tucson,9,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Indianapolis,15,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,NA
Boise,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
New Orleans,6,1,NA,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
Reno,43,1,NA,1,1,NA,1,1,0,1,0,1,1,0,0
Indianapolis,21,1,1,0,1,NA,1,1,1,1,NA,NA,NA,NA,0
Indianapolis,0,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA
Tucson,-22,1,NA,1,1,NA,1,1,1,1,0,0,0,0,0
Tucson,-18,NA,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,1
Nashville,40,1,NA,1,1,NA,1,1,1,2,NA,1,NA,1,1
Indianapolis,10,1,NA,1,1,NA,1,1,1,1,1,0,0,1,NA
Nashville,-4,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,0
Nashville,0,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Indianapolis,0,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,1
Philadelphia,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Reno,-44.5,1,NA,1,1,NA,1,1,1,1,0,1,0,1,1
Tucson,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Boise,18,1,NA,1,0,NA,1,1,NA,1,0,1,1,0,0
St Louis,10.5,1,NA,NA,1,NA,1,0,1,1,NA,NA,NA,NA,1
Indianapolis,5.5,1,NA,1,1,NA,1,0,1,1,0,0,0,0,NA
Philadelphia,-12.5,1,NA,0,0,NA,0,0,NA,1,NA,NA,NA,NA,NA
Indianapolis,3,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
Tucson,0,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,NA
Reno,81,1,NA,0,1,NA,1,1,1,1,0,1,0,0,0
St Louis,-2.5,1,NA,0,1,NA,1,0,0,1,0,0,0,0,0
Tampa,6.5,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,1
Indianapolis,0,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA
Indianapolis,-16,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,0
New Orleans,133.5,1,NA,1,0,0,1,1,0,1,0,1,1,0,0
Indianapolis,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Indianapolis,0,1,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA
Indianapolis,10.5,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,0
Nashville,-17,1,1,1,1,0,1,0,1,1,0,1,0,0,0
Philadelphia,-38,1,NA,0,1,NA,1,0,NA,1,0,0,0,0,NA
Philadelphia,0,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Philadelphia,39,1,NA,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Tucson,12,1,NA,NA,1,NA,NA,0,NA,1,NA,NA,NA,NA,NA
Indianapolis,0,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Indianapolis,-19,1,NA,0,1,NA,0,0,1,1,NA,NA,NA,NA,0
Indianapolis,16,1,NA,0,1,NA,1,1,1,1,0,0,0,0,NA
Nashville,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,0
Reno,512,1,1,NA,0,0,1,1,1,1,0,1,1,1,1
Indianapolis,0,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,1
Reno,-25.5,1,NA,0,1,0,1,0,1,1,0,1,0,1,0
New Orleans,-5.5,1,NA,NA,1,NA,1,1,NA,1,0,0,0,0,1
Indianapolis,0,1,NA,0,1,NA,1,1,1,1,0,1,0,0,1
Indianapolis,10.5,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
Philadelphia,-22,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1
Philadelphia,-6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
