metro_area,city_name,zip_code,population,Total_QSRs,customer_satisfaction,residents_per_qsr
PA,Philadelphia,08001,869,0,NA,Inf
PA,Philadelphia,08002,22946,22,25.818181818181817,1043
PA,Philadelphia,08003,29892,5,32.2,5978.4
PA,Philadelphia,08004,12495,2,-4.5,6247.5
PA,Philadelphia,08007,5144,1,15,5144
PA,Philadelphia,08009,12824,2,-3.75,6412
PA,Philadelphia,08010,11354,2,-2,5677
PA,Philadelphia,08011,23,0,NA,Inf
PA,Philadelphia,08012,40040,17,11.794117647058824,2355.294117647059
PA,Philadelphia,08014,659,0,NA,Inf
PA,Philadelphia,08015,19837,0,NA,Inf
PA,Philadelphia,08016,33531,16,1.78125,2095.6875
PA,Philadelphia,08018,NA,0,NA,Inf
PA,Philadelphia,08019,1007,0,NA,Inf
PA,Philadelphia,08020,2663,0,NA,Inf
PA,Philadelphia,08021,44394,13,5.115384615384615,3414.923076923077
PA,Philadelphia,08022,9210,1,0,9210
PA,Philadelphia,08023,371,0,NA,Inf
PA,Philadelphia,08025,NA,0,NA,Inf
PA,Philadelphia,08026,2177,1,0,2177
PA,Philadelphia,08027,4861,3,4,1620.3333333333333
PA,Philadelphia,08028,20656,14,5.142857142857143,1475.4285714285713
PA,Philadelphia,08029,4212,2,8.5,2106
PA,Philadelphia,08030,13339,2,5,6669.5
PA,Philadelphia,08031,11482,3,11.166666666666666,3827.3333333333335
PA,Philadelphia,08032,NA,0,NA,Inf
PA,Philadelphia,08033,16036,1,57,16036
PA,Philadelphia,08034,18508,10,2.8,1850.8
PA,Philadelphia,08035,7678,1,0,7678
PA,Philadelphia,08036,5971,1,42,5971
PA,Philadelphia,08038,67,0,NA,Inf
PA,Philadelphia,08039,115,0,NA,Inf
PA,Philadelphia,08041,1001,0,NA,Inf
PA,Philadelphia,08042,219,0,NA,Inf
PA,Philadelphia,08043,29392,16,20.8125,1837
PA,Philadelphia,08045,2846,4,6.625,711.5
PA,Philadelphia,08046,31549,9,2.111111111111111,3505.4444444444443
PA,Philadelphia,08048,12309,4,4,3077.25
PA,Philadelphia,08049,5678,4,9.375,1419.5
PA,Philadelphia,08051,10357,1,16,10357
PA,Philadelphia,08052,18940,8,2.1875,2367.5
PA,Philadelphia,08053,45489,20,28.7,2274.45
PA,Philadelphia,08054,41795,24,20.625,1741.4583333333333
PA,Philadelphia,08055,27454,9,8.222222222222221,3050.4444444444443
PA,Philadelphia,08056,4831,0,NA,Inf
PA,Philadelphia,08057,20893,11,40.22727272727273,1899.3636363636363
PA,Philadelphia,08059,5676,4,4,1419
PA,Philadelphia,08060,24349,14,0.8214285714285714,1739.2142857142858
PA,Philadelphia,08061,2957,0,NA,Inf
PA,Philadelphia,08062,16272,3,-0.3333333333333333,5424
PA,Philadelphia,08063,3068,0,NA,Inf
PA,Philadelphia,08064,156,0,NA,Inf
PA,Philadelphia,08065,7296,1,-5.5,7296
PA,Philadelphia,08066,8700,3,-2.1666666666666665,2900
PA,Philadelphia,08067,1610,1,7.5,1610
PA,Philadelphia,08068,7166,2,-2.25,3583
PA,Philadelphia,08069,12608,2,4.25,6304
